リスト名*,タスク名*,説明,ステータス*,ラベル,タスク担当者,タスク開始日,タスク開始時間,タスク締切日,タスク締切時間,チェックリスト名,アイテム名,アイテム完了フラグ,アイテム担当者,アイテム開始日,アイテム開始時間,アイテム締切日,アイテム締切時間
資料,提出書類一覧,,未着手,"","",,,,,,,,,,,,
資料,指定の流れについて,,未着手,"","",,,,,,,,,,,,
資料,業務管理体制の整備に関する事項の届出について,,未着手,"","",,,,,,,,,,,,
書類,様式第1号・第１号の２,,未着手,"","",,,,,,,,,,,,
書類,別紙,,未着手,"","",,,,,,,,,,,,
書類,付表１２,,未着手,"","",,,,,,,,,,,,
書類,参考様式１（平面図）,,未着手,"","",,,,,,,,,,,,
書類,参考様式２（設備・備品等一覧表）,,未着手,"","",,,,,,,,,,,,
書類,他方遵守の状況確認票,,未着手,"","",,,,,,,,,,,,
書類,参考様式３（経歴書）,,未着手,"","",,,,,,,,,,,,
書類,実務経験証明書,,未着手,"","",,,,,,,,,,,,
書類,参考様式５（勤務形態一覧表）,,未着手,"","",,,,,,,,,,,,
書類,参考様式６（苦情解決）,,未着手,"","",,,,,,,,,,,,
書類,参考様式７（理由書）,,未着手,"","",,,,,,,,,,,,
書類,参考様式８（誓約書）,,未着手,"","",,,,,,,,,,,,
書類,事業計画書,,未着手,"","",,,,,,,,,,,,
書類,収支予算書,,未着手,"","",,,,,,,,,,,,
書類,協力医療機関協定書,,未着手,"","",,,,,,,,,,,,
書類,運営規定,,未着手,"","",,,,,,,,,,,,
書類,業務管理体制届出書,,未着手,"","",,,,,,,,,,,,
書類,変更届,,未着手,"","",,,,,,,,,,,,
進行中,,,,,,,,,,,,,,,,,
完了,,,,,,,,,,,,,,,,,
提出済,,,,,,,,,,,,,,,,,
最終ファイル,,,,,,,,,,,,,,,,,
